scene_id,sowing date,date,min,max,average,std,variance,median
farm5,2020-11-13,2021-03-28,0.3099,0.445,0.3847,0.0358,0.0013,0.3821
farm5,2020-11-13,2021-04-07,0.2272,0.4096,0.2922,0.0402,0.0016,0.296
farm5,2020-11-13,2021-04-19,0.1484,0.2729,0.1971,0.0221,0.0005,0.1977
farm5,2020-11-13,2021-04-29,0.1456,0.1873,0.1679,0.0096,0.0001,0.1667
farm5,2021-11-13,2021-11-13,0.0824,0.2086,0.1128,0.0214,0.0005,0.1072
farm5,2021-11-13,2021-11-23,0.0808,0.1646,0.1152,0.0159,0.0003,0.1149
farm5,2021-11-13,2021-12-05,0.1462,0.2485,0.1953,0.0243,0.0006,0.195
farm5,2021-11-13,2021-12-25,0.2005,0.4409,0.3567,0.0575,0.0033,0.3619
farm5,2021-11-13,2022-02-08,0.3357,0.6363,0.5546,0.0661,0.0044,0.5753
farm5,2021-11-13,2022-02-18,0.3139,0.7834,0.6692,0.1141,0.013,0.7094
farm5,2021-11-13,2022-02-28,0.3554,0.7669,0.6752,0.09,0.0081,0.7052
farm5,2021-11-13,2022-03-13,0.3996,0.7094,0.6444,0.06,0.0036,0.6632
farm5,2021-11-13,2022-03-23,0.4032,0.6452,0.5409,0.0593,0.0035,0.543
farm5,2021-11-13,2022-04-04,0.2027,0.368,0.2986,0.0355,0.0013,0.2991
farm5,2021-11-13,2022-04-14,0.1706,0.2413,0.2132,0.0145,0.0002,0.2138
farm5,2021-11-13,2022-04-24,0.1425,0.2803,0.2171,0.0276,0.0008,0.2132
farm5,2022-11-18,2022-11-18,0.1405,0.1972,0.1769,0.0109,0.0001,0.1767
farm5,2022-11-18,2022-11-30,0.1277,0.2754,0.2055,0.0244,0.0006,0.2075
farm5,2022-11-18,2022-12-10,0.2303,0.3492,0.2776,0.0242,0.0006,0.2753
farm5,2022-11-18,2023-01-12,0.3519,0.5961,0.5085,0.0468,0.0022,0.5106
farm5,2022-11-18,2023-02-03,0.5766,0.7521,0.7102,0.0348,0.0012,0.7241
farm5,2022-11-18,2023-02-13,0.6964,0.8058,0.7781,0.0246,0.0006,0.7861
farm5,2022-11-18,2023-02-26,0.6431,0.7314,0.7071,0.0166,0.0003,0.7109
farm5,2022-11-18,2023-03-08,0.6053,0.7033,0.6622,0.0205,0.0004,0.6654
farm5,2022-11-18,2023-03-30,0.3969,0.5397,0.4765,0.0269,0.0007,0.4796
farm5,2022-11-18,2023-04-09,0.2575,0.4497,0.3546,0.0409,0.0017,0.3491
farm6,2020-11-13,2020-11-13,0.1159,0.1735,0.1389,0.0134,0.0002,0.136
farm6,2020-11-13,2020-11-28,0.2255,0.316,0.2795,0.0189,0.0004,0.2815
farm6,2020-11-13,2020-12-08,0.28,0.4107,0.3514,0.0304,0.0009,0.3562
farm6,2020-11-13,2020-12-20,0.5368,0.6594,0.6112,0.0309,0.001,0.6141
farm6,2020-11-13,2021-02-01,0.6156,0.6791,0.6527,0.0146,0.0002,0.6544
farm6,2020-11-13,2021-03-05,0.6531,0.7083,0.6817,0.0139,0.0002,0.6788
farm6,2020-11-13,2021-03-28,0.2794,0.3415,0.3118,0.0153,0.0002,0.3124
farm6,2020-11-13,2021-04-07,0.1983,0.2529,0.2244,0.0122,0.0001,0.224
farm6,2020-11-13,2021-04-19,0.1504,0.2195,0.188,0.015,0.0002,0.1894
farm6,2020-11-13,2021-04-29,0.1293,0.1919,0.1611,0.0127,0.0002,0.1616
farm6,2021-11-13,2021-11-13,0.1024,0.1797,0.1283,0.0174,0.0003,0.1247
farm6,2021-11-13,2021-11-23,0.1063,0.146,0.1257,0.0083,0.0001,0.1265
farm6,2021-11-13,2021-12-05,0.1796,0.2743,0.211,0.018,0.0003,0.2098
farm6,2021-11-13,2021-12-25,0.3481,0.4958,0.4399,0.0273,0.0007,0.4393
farm6,2021-11-13,2022-02-08,0.485,0.6507,0.6079,0.0279,0.0008,0.6118
farm6,2021-11-13,2022-02-18,0.5582,0.7805,0.7315,0.0371,0.0014,0.7393
farm6,2021-11-13,2022-02-28,0.5704,0.7447,0.7003,0.0292,0.0009,0.7032
farm6,2021-11-13,2022-03-13,0.48,0.688,0.6328,0.0383,0.0015,0.6383
farm6,2021-11-13,2022-03-23,0.4192,0.6022,0.535,0.0373,0.0014,0.5365
farm6,2021-11-13,2022-04-04,0.2433,0.3665,0.2853,0.0265,0.0007,0.2832
farm6,2021-11-13,2022-04-14,0.2023,0.2456,0.2227,0.0099,0.0001,0.2221
farm6,2021-11-13,2022-04-24,0.1467,0.2809,0.2038,0.029,0.0008,0.1942
farm6,2022-11-18,2022-11-18,0.1108,0.2463,0.1686,0.0233,0.0005,0.1681
farm6,2022-11-18,2022-11-30,0.2304,0.3525,0.2847,0.033,0.0011,0.2796
